Freq.	V(n001)/I(Re)
1.14287833478977e+001	-1.24150076508131e+001    -9.64426540708717e-001
1.14551294144553e+001	-1.24150574394185e+001    -9.66691433851690e-001
1.14815362149688e+001	-1.24151074666437e+001    -9.68961840743040e-001
1.15080038894443e+001	-1.24151577336734e+001    -9.71237776159825e-001
1.15345325782109e+001	-1.24152082416986e+001    -9.73519254937417e-001
1.15611224219210e+001	-1.24152589919164e+001    -9.75806291953148e-001
1.15877735615512e+001	-1.24153099855305e+001    -9.78098902139921e-001
1.16144861384034e+001	-1.24153612237509e+001    -9.80397100468059e-001
1.16412602941049e+001	-1.24154127077938e+001    -9.82700901978022e-001
1.16680961706096e+001	-1.24154644388823e+001    -9.85010321742244e-001
1.16949939101987e+001	-1.24155164182454e+001    -9.87325374888736e-001
1.17219536554813e+001	-1.24155686471192e+001    -9.89646076606573e-001
1.17489755493953e+001	-1.24156211267460e+001    -9.91972442116816e-001
1.17760597352080e+001	-1.24156738583748e+001    -9.94304486707027e-001
1.18032063565173e+001	-1.24157268432612e+001    -9.96642225707640e-001
1.18304155572516e+001	-1.24157800826676e+001    -9.98985674501090e-001
1.18576874816716e+001	-1.24158335778631e+001    -1.00133484852903e+000
1.18850222743701e+001	-1.24158873301234e+001    -1.00368976327786e+000
1.19124200802737e+001	-1.24159413407311e+001    -1.00605043428230e+000
1.19398810446427e+001	-1.24159956109757e+001    -1.00841687714359e+000
1.19674053130724e+001	-1.24160501421536e+001    -1.01078910750409e+000
1.19949930314937e+001	-1.24161049355679e+001    -1.01316714105631e+000
1.20226443461741e+001	-1.24161599925289e+001    -1.01555099355927e+000
1.20503594037179e+001	-1.24162153143539e+001    -1.01794068081132e+000
1.20781383510678e+001	-1.24162709023670e+001    -1.02033621867910e+000
1.21059813355048e+001	-1.24163267578996e+001    -1.02273762306680e+000
1.21338885046497e+001	-1.24163828822902e+001    -1.02514490994686e+000
1.21618600064636e+001	-1.24164392768845e+001    -1.02755809533838e+000
1.21898959892486e+001	-1.24164959430354e+001    -1.02997719531785e+000
1.22179966016487e+001	-1.24165528821028e+001    -1.03240222601199e+000
1.22461619926504e+001	-1.24166100954544e+001    -1.03483320361225e+000
1.22743923115840e+001	-1.24166675844648e+001    -1.03727014435300e+000
1.23026877081238e+001	-1.24167253505163e+001    -1.03971306453883e+000
1.23310483322890e+001	-1.24167833949983e+001    -1.04216198051722e+000
1.23594743344450e+001	-1.24168417193081e+001    -1.04461690870046e+000
1.23879658653036e+001	-1.24169003248501e+001    -1.04707786555101e+000
1.24165230759240e+001	-1.24169592130366e+001    -1.04954486759427e+000
1.24451461177138e+001	-1.24170183852874e+001    -1.05201793140768e+000
1.24738351424294e+001	-1.24170778430298e+001    -1.05449707362618e+000
1.25025903021771e+001	-1.24171375876991e+001    -1.05698231094945e+000
1.25314117494141e+001	-1.24171976207380e+001    -1.05947366012741e+000
1.25602996369487e+001	-1.24172579435975e+001    -1.06197113797111e+000
1.25892541179416e+001	-1.24173185577358e+001    -1.06447476134183e+000
1.26182753459066e+001	-1.24173794646197e+001    -1.06698454718017e+000
1.26473634747114e+001	-1.24174406657232e+001    -1.06950051246060e+000
1.26765186585784e+001	-1.24175021625290e+001    -1.07202267423689e+000
1.27057410520853e+001	-1.24175639565273e+001    -1.07455104960765e+000
1.27350308101665e+001	-1.24176260492168e+001    -1.07708565574712e+000
1.27643880881134e+001	-1.24176884421039e+001    -1.07962650986895e+000
1.27938130415752e+001	-1.24177511367035e+001    -1.08217362926968e+000
1.28233058265601e+001	-1.24178141345387e+001    -1.08472703128707e+000
1.28528665994361e+001	-1.24178774371408e+001    -1.08728673333274e+000
1.28824955169313e+001	-1.24179410460496e+001    -1.08985275287404e+000
1.29121927361353e+001	-1.24180049628130e+001    -1.09242510744309e+000
1.29419584144998e+001	-1.24180691889875e+001    -1.09500381462957e+000
1.29717927098395e+001	-1.24181337261383e+001    -1.09758889208979e+000
1.30016957803328e+001	-1.24181985758387e+001    -1.10018035753757e+000
1.30316677845229e+001	-1.24182637396709e+001    -1.10277822875520e+000
1.30617088813183e+001	-1.24183292192258e+001    -1.10538252358433e+000
1.30918192299940e+001	-1.24183950161027e+001    -1.10799325993691e+000
1.31219989901920e+001	-1.24184611319100e+001    -1.11061045576964e+000
1.31522483219223e+001	-1.24185275682646e+001    -1.11323412912776e+000
1.31825673855640e+001	-1.24185943267925e+001    -1.11586429810857e+000
1.32129563418657e+001	-1.24186614091285e+001    -1.11850098087056e+000
1.32434153519466e+001	-1.24187288169164e+001    -1.12114419564618e+000
1.32739445772973e+001	-1.24187965518090e+001    -1.12379396072722e+000
1.33045441797808e+001	-1.24188646154682e+001    -1.12645029447214e+000
1.33352143216332e+001	-1.24189330095651e+001    -1.12911321530427e+000
1.33659551654643e+001	-1.24190017357799e+001    -1.13178274172085e+000
1.33967668742593e+001	-1.24190707958020e+001    -1.13445889227484e+000
1.34276496113785e+001	-1.24191401913304e+001    -1.13714168559323e+000
1.34586035405594e+001	-1.24192099240732e+001    -1.13983114036599e+000
1.34896288259164e+001	-1.24192799957479e+001    -1.14252727535885e+000
1.35207256319427e+001	-1.24193504080817e+001    -1.14523010939696e+000
1.35518941235103e+001	-1.24194211628112e+001    -1.14793966137034e+000
1.35831344658714e+001	-1.24194922616827e+001    -1.15065595025566e+000
1.36144468246594e+001	-1.24195637064520e+001    -1.15337899507632e+000
1.36458313658891e+001	-1.24196354988848e+001    -1.15610881494239e+000
1.36772882559584e+001	-1.24197076407565e+001    -1.15884542903062e+000
1.37088176616484e+001	-1.24197801338523e+001    -1.16158885657356e+000
1.37404197501251e+001	-1.24198529799675e+001    -1.16433911689409e+000
1.37720946889394e+001	-1.24199261809071e+001    -1.16709622936906e+000
1.38038426460287e+001	-1.24199997384863e+001    -1.16986021345841e+000
1.38356637897177e+001	-1.24200736545305e+001    -1.17263108869420e+000
1.38675582887188e+001	-1.24201479308751e+001    -1.17540887466433e+000
1.38995263121334e+001	-1.24202225693656e+001    -1.17819359104885e+000
1.39315680294529e+001	-1.24202975718581e+001    -1.18098525759088e+000
1.39636836105593e+001	-1.24203729402189e+001    -1.18378389410755e+000
1.39958732257261e+001	-1.24204486763247e+001    -1.18658952048272e+000
1.40281370456195e+001	-1.24205247820627e+001    -1.18940215668692e+000
1.40604752412990e+001	-1.24206012593307e+001    -1.19222182275748e+000
1.40928879842186e+001	-1.24206781100370e+001    -1.19504853880752e+000
1.41253754462274e+001	-1.24207553361008e+001    -1.19788232502232e+000
1.41579377995707e+001	-1.24208329394518e+001    -1.20072320166849e+000
1.41905752168908e+001	-1.24209109220307e+001    -1.20357118907937e+000
1.42232878712281e+001	-1.24209892857891e+001    -1.20642630767499e+000
1.42560759360218e+001	-1.24210680326894e+001    -1.20928857794221e+000
1.42889395851109e+001	-1.24211471647052e+001    -1.21215802045094e+000
1.43218789927353e+001	-1.24212266838212e+001    -1.21503465585062e+000
1.43548943335364e+001	-1.24213065920331e+001    -1.21791850485920e+000
1.43879857825583e+001	-1.24213868913480e+001    -1.22080958827780e+000
1.44211535152486e+001	-1.24214675837843e+001    -1.22370792698702e+000
1.44543977074592e+001	-1.24215486713717e+001    -1.22661354194693e+000
1.44877185354475e+001	-1.24216301561515e+001    -1.22952645419170e+000
1.45211161758773e+001	-1.24217120401765e+001    -1.23244668483854e+000
1.45545908058195e+001	-1.24217943255110e+001    -1.23537425509152e+000
1.45881426027534e+001	-1.24218770142311e+001    -1.23830918622144e+000
1.46217717445671e+001	-1.24219601084247e+001    -1.24125149959681e+000
1.46554784095590e+001	-1.24220436101913e+001    -1.24420121664566e+000
1.46892627764385e+001	-1.24221275216426e+001    -1.24715835890095e+000
1.47231250243271e+001	-1.24222118449022e+001    -1.25012294796245e+000
1.47570653327588e+001	-1.24222965821056e+001    -1.25309500551856e+000
1.47910838816819e+001	-1.24223817354008e+001    -1.25607455334082e+000
1.48251808514594e+001	-1.24224673069476e+001    -1.25906161328393e+000
1.48593564228699e+001	-1.24225532989185e+001    -1.26205620728032e+000
1.48936107771090e+001	-1.24226397134981e+001    -1.26505835736556e+000
1.49279440957898e+001	-1.24227265528837e+001    -1.26806808563663e+000
1.49623565609442e+001	-1.24228138192849e+001    -1.27108541428997e+000
1.49968483550236e+001	-1.24229015149241e+001    -1.27411036560345e+000
1.50314196609001e+001	-1.24229896420363e+001    -1.27714296194536e+000
1.50660706618673e+001	-1.24230782028696e+001    -1.28018322576538e+000
1.51008015416413e+001	-1.24231671996845e+001    -1.28323117960544e+000
1.51356124843619e+001	-1.24232566347548e+001    -1.28628684609432e+000
1.51705036745932e+001	-1.24233465103674e+001    -1.28935024794217e+000
1.52054752973248e+001	-1.24234368288220e+001    -1.29242140795691e+000
1.52405275379728e+001	-1.24235275924318e+001    -1.29550034903143e+000
1.52756605823806e+001	-1.24236188035232e+001    -1.29858709414368e+000
1.53108746168202e+001	-1.24237104644362e+001    -1.30168166638209e+000
1.53461698279928e+001	-1.24238025775239e+001    -1.30478408889466e+000
1.53815464030302e+001	-1.24238951451534e+001    -1.30789438494533e+000
1.54170045294954e+001	-1.24239881697051e+001    -1.31101257787761e+000
1.54525443953840e+001	-1.24240816535733e+001    -1.31413869113283e+000
1.54881661891247e+001	-1.24241755991664e+001    -1.31727274823546e+000
1.55238700995807e+001	-1.24242700089062e+001    -1.32041477281873e+000
1.55596563160506e+001	-1.24243648852291e+001    -1.32356478859726e+000
1.55955250282694e+001	-1.24244602305852e+001    -1.32672281938524e+000
1.56314764264094e+001	-1.24245560474391e+001    -1.32988888909106e+000
1.56675107010813e+001	-1.24246523382695e+001    -1.33306302170813e+000
1.57036280433354e+001	-1.24247491055696e+001    -1.33624524134950e+000
1.57398286446620e+001	-1.24248463518473e+001    -1.33943557220052e+000
1.57761126969933e+001	-1.24249440796247e+001    -1.34263403855165e+000
1.58124803927037e+001	-1.24250422914390e+001    -1.34584066479660e+000
1.58489319246110e+001	-1.24251409898419e+001    -1.34905547542321e+000
1.58854674859776e+001	-1.24252401774003e+001    -1.35227849500629e+000
1.59220872705115e+001	-1.24253398566957e+001    -1.35550974824202e+000
1.59587914723672e+001	-1.24254400303251e+001    -1.35874925990812e+000
1.59955802861465e+001	-1.24255407009005e+001    -1.36199705489639e+000
1.60324539069002e+001	-1.24256418710492e+001    -1.36525315818200e+000
1.60694125301286e+001	-1.24257435434141e+001    -1.36851759485059e+000
1.61064563517825e+001	-1.24258457206533e+001    -1.37179039009665e+000
1.61435855682647e+001	-1.24259484054408e+001    -1.37507156920511e+000
1.61808003764305e+001	-1.24260516004662e+001    -1.37836115757153e+000
1.62181009735891e+001	-1.24261553084349e+001    -1.38165918069296e+000
1.62554875575047e+001	-1.24262595320683e+001    -1.38496566416787e+000
1.62929603263970e+001	-1.24263642741040e+001    -1.38828063370718e+000
1.63305194789432e+001	-1.24264695372954e+001    -1.39160411511417e+000
1.63681652142779e+001	-1.24265753244125e+001    -1.39493613431000e+000
1.64058977319952e+001	-1.24266816382415e+001    -1.39827671731548e+000
1.64437172321491e+001	-1.24267884815851e+001    -1.40162589026567e+000
1.64816239152549e+001	-1.24268958572628e+001    -1.40498367939714e+000
1.65196179822900e+001	-1.24270037681105e+001    -1.40835011105155e+000
1.65576996346951e+001	-1.24271122169813e+001    -1.41172521169577e+000
1.65958690743754e+001	-1.24272212067449e+001    -1.41510900788178e+000
1.66341265037015e+001	-1.24273307402883e+001    -1.41850152629580e+000
1.66724721255104e+001	-1.24274408205156e+001    -1.42190279371468e+000
1.67109061431069e+001	-1.24275514503482e+001    -1.42531283704225e+000
1.67494287602642e+001	-1.24276626327250e+001    -1.42873168328567e+000
1.67880401812254e+001	-1.24277743706023e+001    -1.43215935957364e+000
1.68267406107045e+001	-1.24278866669543e+001    -1.43559589314186e+000
1.68655302538872e+001	-1.24279995247726e+001    -1.43904131133480e+000
1.69044093164324e+001	-1.24281129470671e+001    -1.44249564162033e+000
1.69433780044731e+001	-1.24282269368657e+001    -1.44595891157877e+000
1.69824365246172e+001	-1.24283414972141e+001    -1.44943114890837e+000
1.70215850839493e+001	-1.24284566311767e+001    -1.45291238142523e+000
1.70608238900310e+001	-1.24285723418361e+001    -1.45640263705254e+000
1.71001531509027e+001	-1.24286886322935e+001    -1.45990194384408e+000
1.71395730750841e+001	-1.24288055056689e+001    -1.46341032997525e+000
1.71790838715757e+001	-1.24289229651008e+001    -1.46692782372663e+000
1.72186857498599e+001	-1.24290410137469e+001    -1.47045445350398e+000
1.72583789199018e+001	-1.24291596547839e+001    -1.47399024784014e+000
1.72981635921508e+001	-1.24292788914077e+001    -1.47753523539133e+000
1.73380399775412e+001	-1.24293987268335e+001    -1.48108944492260e+000
1.73780082874935e+001	-1.24295191642960e+001    -1.48465290533335e+000
1.74180687339159e+001	-1.24296402070496e+001    -1.48822564564273e+000
1.74582215292048e+001	-1.24297618583684e+001    -1.49180769499698e+000
1.74984668862464e+001	-1.24298841215463e+001    -1.49539908266388e+000
1.75388050184174e+001	-1.24300069998973e+001    -1.49899983804376e+000
1.75792361395867e+001	-1.24301304967557e+001    -1.50260999066219e+000
